No.,Indikator,Feedback
1,Berorientasi Pelayanan,
,"Memahami dan memenuhi kebutuhan masyarakat
Ramah, cekatan, solutif, dan dapat diandalkan
Melakukan pebaikan tiada henti",
2,Akuntabel,
,"Melaksanakan tugas dengan jujur bertanggung jawab cermat disiplin dan berintegritas tinggi
Menggunakan kekayaan dan BMN secara betranggung jawab efektif dan efisien
Tidak menyalahgunakan kewenangan jabatan",
3,Kompeten,
,"Meningkatkan kompetensi diri untuk menjawab tantangan yang selalu berubah
Membantu orang lain belajar
Melaksanakan tugas dengan kualitas terbaik",
4,Harmonis,
,"Menghargai setiap orang apapun latar belakangnya
Suka menolong orang lain
Membangun lingkungan kerja yang kondusif",
5,Loyal,
,"Memegang teguh ideologi Pancasila, Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, setia pada
NKRI serta pemerintahan yang sah
Menjaga nama baik sesama ASN, Pimpinan, Instansi dan Negara
Menjaga rahasia jabatan dan negara",
6,Adaptif,
,"Cepat menyesuaikan diri menghadapi perubahan
Terus berinovasi dan mengembangkan kreativitas
Bertindak proaktif",
7,Kolaboratif,
,"Memberi kesempatan kepada beragai pihak untuk berkontribusi Terbuka dalam bekerja sama untuk menghasilkan
nilai tambah Menggerakkan pemanfaatan berbagai sumberdaya untuk tujuan bersama",
