No.,Indikator,Rencana Aksi,Realisasi Target,Bukti Data Dukung,Feedback
1,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan Menyiapkan dan mengoperasikan peralatan elektronikan penerbangan kategori A,Dokumen Januari,https://bit.ly/lapbulTU2025,
2,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat I peralatan elektronika penerbangan kategori A,Dokumen Januari,https://bit.ly/lapbulTU2025,
3,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat I peralatan elektronika penerbangan kategori C,Dokumen Januari,https://bit.ly/lapbulTU2025,
4,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat II peralatan elektronika penerbangan kategori A,Dokumen Januari,https://bit.ly/lapbulTU2025,
5,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat II peralatan elektronika penerbangan kategori C,Dokumen Januari,https://bit.ly/lapbulTU2025,
6,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat I peralatan elektronika bandara kategori B,Dokumen Januari,https://bit.ly/lapbulTU2025,
7,TERLAKSANANYA EVALUASI DAN PENYUSUNAN LAPORAN KEGIATAN SEKSI TOKPD TERMASUK KEGIATAN KOMITE OPERASIONAL BANDAR UDARA (KEAMANAN DAN KESELAMATAN),Terlaksananya tugas jaga,Dokumen Januari,https://bit.ly/lapbulTU2025,
1,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan Menyiapkan dan mengoperasikan peralatan elektronikan penerbangan kategori A,Dokumen Februari,https://bit.ly/lapbulTU2025,
2,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat I peralatan elektronika penerbangan kategori A,Dokumen Februari,https://bit.ly/lapbulTU2025,
3,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat I peralatan elektronika penerbangan kategori C,Dokumen Februari,https://bit.ly/lapbulTU2025,
4,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat II peralatan elektronika penerbangan kategori A,Dokumen Februari,https://bit.ly/lapbulTU2025,
5,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat II peralatan elektronika penerbangan kategori C,Dokumen Februari,https://bit.ly/lapbulTU2025,
6,TERLAKSANANYA PENGOPERASIAN PERAWATAN DAN PERBAIKAN FASILITAS KEAMANAN PENERBANGAN DAN PELAYANAN DARURAT,Terlaksananya kegiatan pemeliharaan tingkat I peralatan elektronika bandara kategori B,Dokumen Februari,https://bit.ly/lapbulTU2025,
7,TERLAKSANANYA EVALUASI DAN PENYUSUNAN LAPORAN KEGIATAN SEKSI TOKPD TERMASUK KEGIATAN KOMITE OPERASIONAL BANDAR UDARA (KEAMANAN DAN KESELAMATAN),Terlaksananya tugas jaga,Dokumen Februari,https://bit.ly/lapbulTU2025,
